rank,start,end,value
182,4,7,0.023248413653481403
183,3,20,0.02310100942419613
184,14,28,0.023039069048842897
185,28,35,0.02301825310623129
186,10,32,0.023011519689154714
187,3,10,0.022997432893964165
188,12,21,0.022961580497241618
189,1,29,0.022749042579516043
190,23,28,0.022675792822814733
191,27,35,0.022666585917138438
192,14,29,0.022604474916755324
193,1,11,0.022413454069827976
194,7,18,0.022267703711772446
195,12,16,0.02216035605573352
196,30,36,0.022064547276212654
197,13,23,0.022049571845061733
198,1,28,0.021866458287392865
199,12,36,0.021745386765045227
200,1,34,0.02158693231735276
201,20,24,0.021387779633096127
202,1,35,0.021032419676355607
203,17,36,0.020976209241934995
204,28,32,0.020948543998123403
205,8,37,0.020869450127296352
206,24,31,0.02069760284256028
207,40,41,0.020649495026837217
208,1,36,0.020620516808862233
209,12,22,0.02058349228570977
210,11,31,0.020548029859837058
211,2,20,0.020544223223817326
212,14,37,0.020525171750402915
213,16,30,0.020489880772496916
214,14,21,0.020485730017253845
215,41,43,0.020364495102336733
216,14,26,0.020226955445589834
217,23,27,0.02016058331260573
218,15,16,0.019990998597930743
219,11,30,0.01991394481143871
220,2,10,0.01985258214659935
221,1,17,0.01979888884739922
222,24,30,0.019688959422887953
223,11,29,0.019685842995445624
224,1,25,0.019567933820740624
225,16,27,0.019544570190653587
226,5,17,0.01952463181701436
227,14,25,0.01952260998815314
228,9,25,0.01950373618504564
229,26,34,0.019420828811984148
230,4,17,0.019335745019975592
231,10,35,0.019274772173676125
232,11,33,0.01926845005223976
233,17,32,0.019208988850447195
234,10,34,0.01918017619834389
235,1,26,0.019167587890470905
236,9,28,0.019117443743710716
237,29,36,0.019096232783522904
238,14,23,0.018920763349050462
239,4,15,0.018879763145756456
240,24,29,0.018836225446890342
241,9,13,0.018813607397765608
242,9,26,0.01874559290585709
243,13,36,0.018737691788841992
244,27,36,0.018708102545509586
245,22,23,0.01870524010671426
246,10,16,0.01863471350700996
247,8,14,0.018552887270591567
248,10,17,0.018532210065779653
249,9,27,0.018368852370305833
